GBAC,country,host,collection_date,taxon,ORF1b-nt17,ORF2-aa25,color_orf1b16,code,1bcolor,2color
MW504567/USA/pig/2018/NA,USA,pig,2018.0,,0,27,#74dea9,bebd,#E342C0,#CBEF84
MW504569/USA/pig/2018/NA,USA,pig,2018.0,,0,49,#6de0a6,bebe,#E342C0,#5AA0E6
MW504570/USA/pig/2018/NA,USA,pig,2018.0,,8,100,#02487c,bec,#E2C376,#B7E4EE
MW504571/USA/pig/2018/NA,USA,pig,2018.0,,7,99,#075690,beca,#5ECBE7,#AF37A7
MW504572/USA/pig/2018/NA,USA,pig,2018.0,,7,98,#3e93d2,becb,#5ECBE7,#56D7EF
MW504573/USA/pig/2018/NA,USA,pig,2018.0,,7,87,#6da6d0,becc,#5ECBE7,#CBABAA
MW504576/USA/pig/2018/NA,USA,pig,2018.0,,7,96,#06538c,becd,#5ECBE7,#ECAE93
MW504577/USA/pig/2018/NA,USA,pig,2018.0,,7,80,#055088,bece,#5ECBE7,#61CC77
MW653748/USA/pig/2018/NA,USA,pig,2018.0,,25,6,#bf8cb0,bed,#94ED85,#8FF1CE
MW653749/USA/pig/2018/NA,USA,pig,2018.0,,25,6,#c697b8,beda,#94ED85,#8FF1CE
MW653750/USA/pig/2019/NA,USA,pig,2019.0,,25,6,#b47aa2,bedb,#94ED85,#8FF1CE
MW653751/USA/pig/2019/NA,USA,pig,2019.0,,25,6,#d5b1ca,bedc,#94ED85,#8FF1CE
MW653752/USA/pig/2019/NA,USA,pig,2019.0,,25,6,#d3aec8,bedd,#94ED85,#8FF1CE
MW653753/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#b67ea5,bede,#94ED85,#8FF1CE
MW732145/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#cca2c0,bee,#94ED85,#8FF1CE
MW732146/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#ca9fbd,beea,#94ED85,#8FF1CE
MW732148/USA/pig/2018/NA,USA,pig,2018.0,,25,6,#c394b5,beeb,#94ED85,#8FF1CE
MW732149/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#dbbdd2,beec,#94ED85,#8FF1CE
MW732150/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#d1aac5,beed,#94ED85,#8FF1CE
MW732151/USA/pig/2019/NA,USA,pig,2019.0,,25,6,#bb85aa,beee,#94ED85,#8FF1CE
MW732152/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#c89bba,c,#94ED85,#8FF1CE
MW732153/USA/pig/2018/NA,USA,pig,2018.0,,25,6,#c190b2,ca,#94ED85,#8FF1CE
MW732155/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#d9b9d0,caa,#94ED85,#8FF1CE
MW732156/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#b881a8,caaa,#94ED85,#8FF1CE
MW732157/USA/pig/2020/NA,USA,pig,2020.0,,25,6,#cea6c2,caab,#94ED85,#8FF1CE
MW784069/CHN/pig/NA/NA,CHN,pig,,,0,27,#84dcb0,caac,#E342C0,#CBEF84
MW784070/CHN/pig/NA/NA,CHN,pig,,,7,101,#0c609f,caad,#5ECBE7,#F0D5DE
MW784071/CHN/pig/NA/NA,CHN,pig,,,7,79,#adc5d7,caae,#5ECBE7,#AD52E6
MW784073/CHN/pig/NA/NA,CHN,pig,,,7,82,#1d7bc1,cab,#5ECBE7,#C57EA7
MW784074/CHN/pig/NA/NA,CHN,pig,,,7,82,#2383ca,caba,#5ECBE7,#C57EA7
MW784076/CHN/pig/NA/NA,CHN,pig,,,0,48,#7bddac,cabb,#E342C0,#E6A3B5
MW784078/CHN/pig/NA/NA,CHN,pig,,,0,28,#9adaba,cabc,#E342C0,#EDD2C4
MW784079/CHN/pig/NA/NA,CHN,pig,,,0,47,#a6dac0,cabd,#E342C0,#5363EA
MW784081/CHN/pig/NA/NA,CHN,pig,,,1,37,#22f38a,cabe,#9BC3B9,#C8F6BF
MW784082/CHN/pig/NA/NA,CHN,pig,,,0,29,#98dab9,cac,#E342C0,#A19D82
MW784083/CHN/pig/NA/NA,CHN,pig,,,0,32,#59e49e,caca,#E342C0,#4E75BB
MW784084/CHN/pig/NA/NA,CHN,pig,,,8,95,#044e84,cacb,#E2C376,#DEF039
MW784090/CHN/pig/NA/NA,CHN,pig,,,7,91,#5e9fd0,cacc,#5ECBE7,#BEC9D3
MW784091/CHN/pig/NA/NA,CHN,pig,,,0,48,#82dcaf,cacd,#E342C0,#E6A3B5
MW784092/CHN/pig/NA/NA,CHN,pig,,,1,49,#24f28b,cace,#9BC3B9,#5AA0E6
MW784093/CHN/pig/NA/NA,CHN,pig,,,7,83,#2585cd,cad,#5ECBE7,#ECD0A6
MW784095/CHN/pig/NA/NA,CHN,pig,,,7,94,#1976bb,cada,#5ECBE7,#E5B571
MW784096/CHN/pig/NA/NA,CHN,pig,,,7,86,#2788d0,cadb,#5ECBE7,#AF37A7
MW784101/CHN/pig/NA/NA,CHN,pig,,,7,101,#b5cad9,cadc,#5ECBE7,#F0D5DE
MW784102/CHN/pig/NA/NA,CHN,pig,,,8,97,#034b80,cadd,#E2C376,#ECC6E5
